params,overall_accuracy,overall_f1,periodicity_accuracy,temporal_stability_accuracy,coordination_accuracy,periodicity_f1,temporal_stability_f1,coordination_f1,periodicity_recall,temporal_stability_recall,coordination_recall,training_time
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7200000000000001,0.7156415997795307,0.68,0.68,0.8,0.7034482758620689,0.6784415584415584,0.765034965034965,0.68,0.68,0.8,3.5328850746154785
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7333333333333334,0.7131460272935728,0.72,0.8,0.68,0.7172964669738863,0.7714285714285714,0.6507130434782609,0.72,0.8,0.68,3.007457971572876
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7733333333333333,0.7545489052010791,0.68,0.8,0.84,0.6638311688311689,0.7790909090909091,0.8207246376811593,0.68,0.8,0.84,3.8866238594055176
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.68,0.6830061457597689,0.64,0.68,0.72,0.6491005291005291,0.6942657342657342,0.7056521739130435,0.64,0.68,0.72,3.5598158836364746
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7866666666666666,0.7714813156192465,0.68,0.8,0.88,0.6920197044334975,0.7790909090909091,0.8433333333333333,0.68,0.8,0.88,2.9351391792297363
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7466666666666667,0.7258461538461538,0.76,0.76,0.72,0.7659999999999999,0.7215384615384616,0.69,0.76,0.76,0.72,3.179460287094116
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7333333333333334,0.7310242843576177,0.68,0.76,0.76,0.7115343915343915,0.7215384615384616,0.76,0.68,0.76,0.76,3.8192331790924072
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7466666666666667,0.7292158952158951,0.72,0.8,0.72,0.7286666666666666,0.7714285714285714,0.6875524475524475,0.72,0.8,0.72,2.961127996444702
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7466666666666667,0.7276199356199355,0.72,0.8,0.72,0.7238787878787878,0.7714285714285714,0.6875524475524475,0.72,0.8,0.72,3.193786859512329
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.68,0.6712153933023499,0.56,0.72,0.76,0.6002797202797203,0.6857142857142857,0.7276521739130436,0.56,0.72,0.76,3.825974702835083
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7866666666666667,0.7632796288678642,0.72,0.84,0.8,0.7033333333333333,0.8214705882352941,0.765034965034965,0.72,0.84,0.8,3.2984671592712402
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7733333333333334,0.7568209905211801,0.76,0.84,0.72,0.7519602977667493,0.8174117647058823,0.7010909090909091,0.76,0.84,0.72,3.8889999389648438
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7200000000000001,0.699820753958685,0.68,0.76,0.72,0.6903713527851459,0.7215384615384616,0.6875524475524475,0.68,0.76,0.72,3.6808838844299316
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.7237386269644334,0.68,0.76,0.8,0.683010752688172,0.7215384615384616,0.7666666666666667,0.68,0.76,0.8,2.6909289360046387
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7333333333333334,0.7137458097458097,0.68,0.8,0.72,0.6822564102564103,0.7714285714285714,0.6875524475524475,0.68,0.8,0.72,2.9893009662628174
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7333333333333334,0.725758784425451,0.64,0.8,0.76,0.6772193732193732,0.7758241758241757,0.7242328042328041,0.64,0.8,0.76,3.884427070617676
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7599999999999999,0.72652959407742,0.64,0.8,0.84,0.6031515151515151,0.7714285714285714,0.8050086956521738,0.64,0.8,0.84,2.4416098594665527
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7600000000000001,0.7402159483029048,0.72,0.8,0.76,0.7139047619047619,0.7790909090909091,0.7276521739130436,0.72,0.8,0.76,2.9564030170440674
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7066666666666667,0.7058662732865632,0.64,0.72,0.76,0.6772193732193732,0.7127272727272728,0.7276521739130436,0.64,0.72,0.76,3.888526201248169
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7333333333333334,0.702982017982018,0.6,0.8,0.8,0.5713636363636364,0.7714285714285714,0.7661538461538462,0.6,0.8,0.8,2.8756489753723145
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7866666666666667,0.7693190730837789,0.72,0.84,0.8,0.7238787878787878,0.8174117647058823,0.7666666666666667,0.72,0.84,0.8,3.656538724899292
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7200000000000001,0.7086105006105007,0.6,0.76,0.8,0.6376263736263736,0.7215384615384616,0.7666666666666667,0.6,0.76,0.8,3.8378708362579346
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7733333333333334,0.7626560393012006,0.64,0.88,0.8,0.6598787878787878,0.8619354838709676,0.7661538461538462,0.64,0.88,0.8,3.3021929264068604
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7600000000000001,0.7354761904761905,0.68,0.8,0.8,0.6683333333333333,0.7714285714285714,0.7666666666666667,0.68,0.8,0.8,3.9001400470733643
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7333333333333334,0.7311030944364276,0.68,0.72,0.8,0.7115343915343915,0.6857142857142857,0.7960606060606059,0.68,0.72,0.8,3.818969964981079
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7733333333333334,0.7575784363924781,0.68,0.84,0.8,0.683010752688172,0.8214705882352941,0.7682539682539682,0.68,0.84,0.8,2.7035889625549316
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7733333333333334,0.755444947209653,0.68,0.84,0.8,0.6822564102564103,0.8174117647058823,0.7666666666666667,0.68,0.84,0.8,3.436223030090332
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.64,0.661793017641545,0.6,0.6,0.72,0.6495104895104896,0.6315207373271889,0.7043478260869566,0.6,0.6,0.72,3.736762046813965
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7600000000000001,0.7478147995795054,0.64,0.84,0.8,0.6598787878787878,0.8174117647058823,0.7661538461538462,0.64,0.84,0.8,2.9639089107513428
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7333333333333334,0.712047539518804,0.68,0.76,0.76,0.6903713527851459,0.7215384615384616,0.7242328042328041,0.68,0.76,0.76,3.541628837585449
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7866666666666666,0.7616026755852844,0.72,0.76,0.88,0.72,0.7215384615384616,0.8432695652173914,0.72,0.76,0.88,3.8536951541900635
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.71800777000777,0.72,0.76,0.76,0.6884848484848485,0.7215384615384616,0.7440000000000001,0.72,0.76,0.76,2.373870849609375
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7733333333333333,0.7645902001380263,0.68,0.8,0.84,0.7173333333333334,0.7714285714285714,0.8050086956521738,0.68,0.8,0.84,3.6015138626098633
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7333333333333334,0.7375089355089356,0.68,0.8,0.72,0.7134358974358974,0.7790909090909091,0.72,0.68,0.8,0.72,3.909691095352173
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7600000000000001,0.744954600954601,0.76,0.8,0.72,0.7657728937728937,0.7790909090909091,0.69,0.76,0.8,0.72,3.292187213897705
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7866666666666666,0.7591027610382449,0.76,0.76,0.84,0.7519602977667493,0.7215384615384616,0.8038095238095238,0.76,0.76,0.84,4.097225904464722
"{'batch_size': 16, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7066666666666667,0.6944832944832945,0.6,0.8,0.72,0.6143589743589744,0.7790909090909091,0.69,0.6,0.8,0.72,4.120227098464966
